NR;SYMBOL;ISIN;Company Common Name; Company Market Capitalization ;TRBC Economic Sector Name;TRBC Economic Sector Code;Country ISO Code of Headquarters;Ccy
901;STO.AX;AU000000STO6;Santos Ltd; 8’045’982’423.08 ;Energy;50;AU;AUD
902;MHK.N;US6081901042;Mohawk Industries Inc; 8’678’308’607.20 ;Consumer Cyclicals;53;US;USD
903;UBIP.PA;FR0000054470;Ubisoft Entertainment SA; 9’131’594’099.92 ;Technology;57;FR;EUR
904;GETP.PA;FR0010533075;Getlink SE; 7’399’187’998.90 ;Industrials;52;FR;EUR
905;JAZZ.OQ;IE00B4Q5ZN47;Jazz Pharmaceuticals PLC; 7’477’464’296.40 ;Healthcare;56;IE;USD
906;7261.T;JP3868400007;Mazda Motor Corp; 6’503’695’956.51 ;Consumer Cyclicals;53;JP;JPY
907;BWA.N;US0997241064;Borgwarner Inc; 6’364’303’307.99 ;Consumer Cyclicals;53;US;USD
908;STLD.OQ;US8581191009;Steel Dynamics Inc; 6’895’748’869.04 ;Basic Materials;51;US;USD
909;9005.T;JP3574200006;Tokyu Corp; 10’172’695’695.81 ;Industrials;52;JP;JPY
910;CPT.N;US1331311027;Camden Property Trust; 8’200’556’297.10 ;Real Estate;60;US;USD
911;SVT.L;GB00B1FH8J72;Severn Trent PLC; 5’492’781’423.22 ;Utilities;59;GB;GBp
912;WHR.N;US9633201069;Whirlpool Corp; 6’819’190’349.25 ;Consumer Cyclicals;53;US;USD
913;5201.T;JP3112000009;AGC Inc; 7’075’312’323.87 ;Consumer Cyclicals;53;JP;JPY
914;TEMN.S;CH0012453913;Temenos AG; 8’511’451’152.63 ;Technology;57;CH;CHF
915;WRB.N;US0844231029;W R Berkley Corp; 8’223’544’156.77 ;Financials;55;US;USD
916;LYV.N;US5380341090;Live Nation Entertainment Inc; 10’320’094’254.25 ;Consumer Cyclicals;53;US;USD
917;EDEN.PA;FR0010908533;Edenred SE; 8’811’407’581.54 ;Industrials;52;FR;EUR
918;COH.AX;AU000000COH5;Cochlear Ltd; 7’061’444’217.38 ;Healthcare;56;AU;AUD
919;UAL.OQ;US9100471096;United Airlines Holdings Inc; 22’813’445’216.76 ;Industrials;52;US;USD
920;4689.T;JP3933800009;LY Corp; 12’801’975’598.68 ;Technology;57;JP;JPY
921;LAND.L;GB00BYW0PQ60;Land Securities Group PLC; 7’608’714’129.48 ;Real Estate;60;GB;GBp
922;ST.N;GB00BFMBMT84;Sensata Technologies Holding PLC; 7’360’321’661.40 ;Technology;57;US;USD
923;ELE.MC;ES0130670112;Endesa SA; 24’443’389’433.90 ;Utilities;59;ES;EUR
924;NHY.OL;NO0005052605;Norsk Hydro ASA; 9’312’344’735.98 ;Basic Materials;51;NO;NOK
925;ON.OQ;US6821891057;ON Semiconductor Corp; 6’949’539’688.65 ;Technology;57;US;USD
926;0083.HK;HK0083000502;Sino Land Co Ltd; 11’284’848’833.32 ;Real Estate;60;HK;HKD
